City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
298,zheleznogorsk,52.331,35.3711,3.78,79,100,2.58,RU,1715537658
299,camabatela,-8.1881,15.375,23.82,47,69,0.55,AO,1715537658
300,ugoofaaru,5.6667,73.0,30.31,72,71,3.81,MV,1715537659
301,severo-yeniseyskiy,60.3725,93.0408,1.43,93,34,1.34,RU,1715537659
302,huarmey,-10.0681,-78.1522,20.94,77,95,3.77,PE,1715537659
303,vanimo,-2.6741,141.3028,26.28,90,100,2.0,PG,1715537659
304,teluk nibung,3.001,99.8164,25.97,93,99,2.17,ID,1715537660
305,chegdomyn,51.1167,133.0167,3.97,94,100,1.56,RU,1715537660
306,tarfaya,27.9358,-12.9218,19.42,81,17,9.6,MA,1715537660
307,general conesa,-40.1,-64.4333,12.49,42,31,4.56,AR,1715537537
308,de aar,-30.6497,24.0123,16.65,26,0,2.62,ZA,1715537660
309,'ain el hadjar,34.7585,0.1453,19.63,52,95,1.07,DZ,1715537661
310,kuqa,41.7278,82.9364,26.83,6,92,3.41,CN,1715537661
311,paracuru,-3.41,-39.0306,29.5,87,41,3.77,BR,1715537529
312,souppes-sur-loing,48.183,2.7352,19.69,89,70,4.66,FR,1715537662
313,hilo,19.7297,-155.09,21.72,98,100,4.12,US,1715537382
314,laojunmiao,39.8333,97.7333,16.47,14,2,4.19,CN,1715537662
315,taro,-8.3862,115.28,23.0,100,86,0.06,ID,1715537662
316,plastun,44.7561,136.2939,4.51,90,11,2.35,RU,1715537662
317,wagga wagga,-35.1167,147.3667,9.36,78,0,0.21,AU,1715537663
318,okhotsk,59.3833,143.3,-0.32,98,100,2.93,RU,1715537663
319,tindouf,27.6711,-8.1474,37.25,9,20,7.2,DZ,1715537663
320,qom,34.6401,50.8764,29.7,15,99,2.4,IR,1715537518
321,azul,-36.777,-59.8585,11.94,50,32,4.55,AR,1715537664
322,qa'en,33.7265,59.1844,21.82,25,3,1.11,IR,1715537664
323,recani,31.2846,-4.2688,33.34,10,58,7.86,MA,1715537665
324,kavieng,-2.5744,150.7967,27.95,80,85,1.82,PG,1715537665
325,novoishimskiy,53.1981,66.7694,16.52,49,99,4.48,KZ,1715537665
326,jiuquan,39.7432,98.5174,16.86,15,0,1.91,CN,1715537665
327,laguna,38.421,-121.4238,28.38,55,0,3.09,US,1715537666
328,kailua-kona,19.6406,-155.9956,24.43,84,75,7.2,US,1715537666
329,polyarnyy,69.1989,33.4478,1.19,98,100,1.08,RU,1715537666
330,novyy urengoy,66.0833,76.6333,0.09,99,96,4.58,RU,1715537666
331,port saint john's,-31.6229,29.5448,18.26,72,13,1.36,ZA,1715537666
332,pisco,-13.7,-76.2167,20.03,77,75,4.63,PE,1715537667
333,mbandaka,0.0487,18.2603,24.03,91,93,0.76,CD,1715537667
334,constitucion,-35.3333,-72.4167,13.59,56,1,3.43,CL,1715537667
335,saint john,45.2727,-66.0677,10.0,61,83,2.45,CA,1715537474
336,acarau,-2.8856,-40.12,28.96,76,59,4.99,BR,1715537668
337,galliano,29.4422,-90.2992,28.33,61,100,3.6,US,1715537668
338,mangrol,21.1167,70.1167,28.18,78,36,4.85,IN,1715537668
339,leua,48.2156,18.6071,14.69,76,4,2.79,SK,1715537669
340,tracy,37.7397,-121.4252,28.44,45,0,0.45,US,1715537669
341,mirny,62.5353,113.9611,1.24,99,100,1.79,RU,1715537669
342,lethem,3.3803,-59.7968,26.36,81,100,1.91,GY,1715537670
343,bento goncalves,-29.1714,-51.5192,20.66,95,100,1.34,BR,1715537670
344,dzuunharaa,48.8523,106.4579,11.32,76,92,7.05,MN,1715537670
345,urgup,38.6304,34.9116,11.14,87,72,2.51,TR,1715537670
346,saint croix,17.7397,-64.7388,30.53,70,2,1.79,VI,1715537670
347,palikir - national government center,6.9248,158.1611,24.41,100,100,0.0,FM,1715537671
348,turpan,42.9333,89.1667,31.31,21,99,1.66,CN,1715537671
349,mantua,45.1667,10.7833,24.34,77,81,3.57,IT,1715537511
350,saint-philippe,-21.3585,55.7679,24.77,80,72,5.72,RE,1715537671
351,nadi,-17.8,177.4167,20.0,77,40,2.57,FJ,1715537381
352,moose jaw,50.4001,-105.5344,16.36,33,18,2.5,CA,1715537475
353,kish,26.5578,54.0194,28.15,65,14,3.09,IR,1715537672
354,kenai,60.5544,-151.2583,6.75,86,75,2.57,US,1715537672
355,sao jose da coroa grande,-8.8978,-35.1478,28.5,70,52,3.02,BR,1715537672
356,greymouth,-42.4667,171.2,6.89,81,100,3.19,NZ,1715537672
357,antofagasta,-23.65,-70.4,17.41,78,88,5.41,CL,1715537448
358,nev'yansk,57.4953,60.2112,2.4,69,42,4.02,RU,1715537673
359,priozersk,61.0393,30.1291,9.97,69,86,1.99,RU,1715537673
360,rongai,-0.1733,35.8638,16.92,77,100,0.48,KE,1715537673
361,nichinan,31.6,131.3667,19.82,97,100,1.54,JP,1715537673
362,port moresby,-9.4431,147.1797,24.68,83,20,2.57,PG,1715537636
363,emerald,-23.5333,148.1667,16.86,71,100,4.76,AU,1715537674
